970.001, 4157314, 14.94
970.002, 4157314, 14.94
970.006, 4157137, 14.94
970.011, 4157342, 14.94
970.016, 4157189, 14.94
970.021, 4157201, 14.94
970.026, 4157276, 14.94
970.031, 4157229, 14.94
970.036, 4157143, 14.94
970.041, 4157255, 14.94
970.046, 4157284, 14.94
970.051, 4157204, 14.94
970.056, 4157204, 14.94
970.061, 4157225, 14.94
970.066, 4157224, 14.94
970.071, 4157252, 14.94
970.076, 4157270, 14.94
970.081, 4157138, 14.94
970.086, 4157196, 14.94
970.091, 4157368, 14.94
970.096, 4157340, 14.94
970.101, 4157289, 14.94
970.106, 4157233, 14.94
970.111, 4157186, 14.94
970.119, 4157235, 14.94
970.124, 4157135, 14.94
970.129, 4157133, 14.94
970.134, 4157175, 14.94
970.139, 4157167, 14.94
970.144, 4157167, 14.94
970.149, 4157208, 14.94
970.154, 4157157, 14.94
970.159, 4157252, 14.94
970.164, 4157270, 14.94
970.169, 4157233, 14.94
970.174, 4157328, 14.94
970.179, 4157222, 14.94
970.184, 4157320, 14.94
970.189, 4157335, 14.94
970.194, 4157305, 14.94
970.199, 4157255, 14.94
970.204, 4157341, 14.94
970.209, 4157237, 14.94
970.214, 4157253, 14.94
970.219, 4157288, 14.94
970.224, 4157259, 14.94
970.229, 4157217, 14.94
970.234, 4157263, 14.94
970.241, 4157070, 14.94
970.246, 4157070, 14.94
970.251, 4157207, 14.94
970.256, 4157288, 14.94
970.261, 4157175, 14.94
970.266, 4157163, 14.94
970.271, 4157217, 14.94
970.276, 4157188, 14.94
970.281, 4157257, 14.94
970.286, 4157160, 14.94
970.291, 4157177, 14.94
970.296, 4157193, 14.94
970.362, 4157202, 14.94
970.363, 4157202, 14.94
970.366, 4157161, 14.94
970.371, 4157398, 14.94
970.376, 4157320, 14.94
970.381, 4157209, 14.94
970.386, 4157253, 14.94
970.391, 4157229, 14.94
970.396, 4157269, 14.94
970.401, 4157269, 14.94
970.406, 4157151, 14.94
970.411, 4157368, 14.94
970.416, 4157130, 14.94
970.424, 4157377, 14.94
970.429, 4157170, 14.94
970.434, 4157252, 14.94
970.439, 4157202, 14.94
970.444, 4157184, 14.94
970.449, 4157203, 14.94
970.454, 4157191, 14.94
970.459, 4157332, 14.94
970.464, 4157344, 14.94
970.469, 4157217, 14.94
970.474, 4157130, 14.94
970.479, 4157240, 14.94
970.484, 4157243, 14.94
970.489, 4157243, 14.94
970.494, 4157268, 14.94
970.499, 4157217, 14.94
970.504, 4157129, 14.94
970.509, 4157174, 14.94
970.514, 4157165, 14.94
970.519, 4157252, 14.94
970.524, 4157183, 14.94
970.529, 4157308, 14.94
970.534, 4157288, 14.94
970.539, 4157226, 14.94
970.604, 4157298, 14.94
970.606, 4157298, 14.94
970.607, 4157298, 14.94
970.611, 4157325, 14.94
970.616, 4157167, 14.94
970.621, 4157021, 14.94
970.626, 4157227, 14.94
970.631, 4157259, 14.94
970.636, 4157246, 14.94
970.641, 4157276, 14.94
